"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Neurodegenerative disease","mmu05012","Parkinson disease","75/890","274/11162",0.273722627737226,3.43291232674485,12.0018096953734,2.2645207001729e-22,4.93943358580848e-20,4.93943358580848e-20,"19181/19167/22273/12866/66925/17995/66576/67184/71679/68349/66091/110323/11957/59029/67680/17717/19172/68198/11911/17993/21762/66043/26446/26442/26440/17991/54405/11740/17710/22166/17719/19166/56228/19173/66694/230075/17718/75406/226646/72002/22272/66142/68375/67264/11951/225887/66416/17716/22213/66413/66108/19175/66052/20422/12864/14679/227197/30791/12859/16439/67126/68943/66495/106957/66445/66916/228033/17992/67003/17722/57320/12858/66377/19170/19177",75
"Metabolism","Energy metabolism","mmu00190","Oxidative phosphorylation","52/890","141/11162",0.368794326241135,4.62526097697028,12.7513857303446,2.83062096607936e-22,4.93943358580848e-20,4.93943358580848e-20,"22273/12866/66925/57423/17995/66576/67184/71679/68349/66091/110323/11957/67680/17717/68198/17993/66043/17991/54405/17710/17719/66694/230075/12856/17718/75406/226646/22272/66142/68375/67264/11951/225887/66416/17716/11975/66108/66052/12864/227197/12859/66144/67126/66495/66445/66916/228033/17992/67003/17722/12858/66377",52
"Human Diseases","Cancer: overview","mmu05208","Chemical carcinogenesis - reactive oxygen species","67/890","229/11162",0.292576419213974,3.66936852951278,12.0136688085934,7.85862061977863e-22,9.14219532100913e-20,9.14219532100913e-20,"22273/12866/66925/17995/66576/26398/67184/71679/14872/15368/14871/68349/66091/11352/66447/110323/11957/67680/17717/68198/17993/66043/11863/17991/54405/11740/17710/17719/66694/230075/17718/58810/75406/226646/22272/66142/68375/67264/11951/225887/66416/19246/17716/11350/56615/15234/66108/11652/11431/66052/12864/227197/12859/67126/66495/66445/66916/228033/11651/17992/67003/19697/17722/12858/66377/13077/19247",67
"Human Diseases","Neurodegenerative disease","mmu05016","Huntington disease","79/890","308/11162",0.256493506493506,3.21683204436013,11.612675546981,1.41041098826169e-21,1.23058358725832e-19,1.23058358725832e-19,"19181/19167/22273/12866/66925/17995/66576/67710/67184/71679/68349/66491/66091/231329/110323/11957/59029/215114/67680/17717/19172/14778/68198/17993/21762/66043/26446/26442/26440/17991/54405/328572/11740/17710/17719/19166/19173/66694/230075/17718/75406/226646/11771/22272/66142/68375/67264/11951/225887/66416/12914/17716/66413/232910/66108/18797/13191/329015/19175/66052/20422/12864/227197/12859/67126/66495/20020/66445/66916/76559/228033/52639/17992/67003/17722/12858/66377/19170/19177",79
"Human Diseases","Neurodegenerative disease","mmu05014","Amyotrophic lateral sclerosis","88/890","374/11162",0.235294117647059,2.95095836087244,11.2962003025831,3.39839592164855e-21,2.37208035331069e-19,2.37208035331069e-19,"19181/19167/22273/12866/66925/269966/54563/54609/233871/17995/66576/13869/67184/71679/107939/227720/68349/66091/110323/94232/11957/59029/67680/17717/19172/21937/14778/68198/11911/17993/21762/66043/26446/26442/26440/17991/54405/56491/17710/67443/17719/19166/19173/66694/230075/17718/75406/226646/22272/17274/66142/68375/67264/11951/225887/66416/17716/66413/66108/13191/329015/15185/19175/66052/20422/12864/227197/12859/110379/67126/68943/66495/66445/66916/76559/228033/72787/233908/52639/12460/17992/67003/17722/237782/12858/66377/19170/19177",88
"Human Diseases","Neurodegenerative disease","mmu05020","Prion disease","72/890","273/11162",0.263736263736264,3.30766761328559,11.362650058435,1.71258931667215e-20,9.96156119197635e-19,9.96156119197635e-19,"19181/19167/22273/12866/66925/17995/66576/67184/71679/68349/14360/15139/66091/110323/11957/59029/67680/17717/19172/68198/11911/17993/21762/66043/26446/26442/26440/17991/54405/11740/17710/17719/19166/19173/66694/230075/17718/69379/75406/226646/22272/66142/68375/67264/11951/225887/66416/12262/17716/66413/66108/110382/19175/66052/20422/12864/227197/12859/16439/67126/66495/66445/15481/66916/228033/17992/67003/17722/12858/66377/19170/19177",72
"Human Diseases","Neurodegenerative disease","mmu05010","Alzheimer disease","86/890","389/11162",0.22107969151671,2.77268709742642,10.4750862232674,7.19577804626025e-19,3.58760934020689e-17,3.5876093402069e-17,"19181/19167/22273/16971/12866/66925/17995/66576/67184/71679/11816/68349/66091/15108/110323/11957/59029/67680/17717/19172/21937/68198/11911/17993/21762/66043/26446/26442/26440/17991/54405/11740/17710/17719/19166/19173/66694/230075/17718/14367/75406/226646/72002/22272/384783/12005/66142/68375/67264/11951/225887/66416/17716/66413/66108/18797/11652/16973/329015/19175/66052/20422/12864/227197/30791/12859/16439/67126/66495/106957/66445/66916/76559/13544/228033/52639/11651/17992/67003/19697/17722/12858/66377/12568/19170/19177",86
"Human Diseases","Cardiovascular disease","mmu05415","Diabetic cardiomyopathy","60/890","216/11162",0.277777777777778,3.48377028714107,10.8499973746083,1.95043395012064e-18,8.50876810740129e-17,8.50876810740129e-17,"22273/12866/66925/21813/17995/66576/67184/71679/68349/66091/110323/11957/68263/17390/67680/17717/68198/17993/66043/17991/54405/11740/17710/17719/21803/66694/230075/17718/75406/226646/22272/66142/68375/67264/11951/225887/66416/17716/66108/18797/11652/66052/12864/227197/12859/55951/67126/14782/66495/11607/66445/66916/228033/11651/17992/67003/19697/17722/12858/66377",60
"Human Diseases","Neurodegenerative disease","mmu05022","Pathways of neurodegeneration - multiple diseases","94/890","481/11162",0.195426195426195,2.4509519026373,9.57499705363501,9.17485262623269e-17,3.55780396283912e-15,3.55780396283912e-15,"19181/19167/22273/12866/66925/233871/17995/66576/67184/71679/12018/68349/66091/15108/110323/11957/59029/215114/67680/17717/19172/21937/14778/68198/11911/17993/21762/66043/26446/26442/26440/17991/54405/56491/11740/17710/52335/67443/17719/19166/56228/19173/66694/230075/17718/14367/75406/226646/22272/12005/17274/66142/68375/67264/11951/225887/66416/17716/22213/66413/66108/18797/13191/16973/329015/19175/66052/20422/12864/227197/12859/16439/67126/68943/66495/66445/66916/76559/13544/228033/233908/52639/12460/17992/67003/19697/17722/57320/237782/12858/66377/12568/19170/19177",94
"Human Diseases","Endocrine and metabolic disease","mmu04932","Non-alcoholic fatty liver disease","48/890","162/11162",0.296296296296296,3.71602163961715,10.2497540079821,3.34186169682441e-16,1.16630973219172e-14,1.16630973219172e-14,"22273/12866/66925/26403/17995/66576/67184/68349/66091/110323/67680/21937/68198/11911/17993/17991/54405/606496/17710/21803/66694/230075/75406/226646/22272/384783/66142/68375/67264/225887/66416/72674/66108/11652/66052/12864/227197/12859/66495/66445/20787/66916/11651/17992/67003/19697/12858/66377",48
"Organismal Systems","Environmental adaptation","mmu04714","Thermogenesis","59/890","238/11162",0.247899159663866,3.10904541591918,9.68060760439783,1.24145671118767e-15,3.93880356549543e-14,3.93880356549543e-14,"68094/22273/12866/66925/57423/17995/66576/67184/71679/68349/66091/110323/11957/66379/67680/17717/68198/17993/66043/17991/54405/67155/17710/17719/66694/230075/12856/17718/75406/226646/22272/66142/68375/67264/208501/11951/225887/66416/239985/17716/66108/20588/66052/12864/227197/12859/19744/67126/327826/66495/66445/66916/228033/66272/17992/67003/17722/12858/66377",59
"Metabolism","Amino acid metabolism","mmu00280","Valine, leucine and isoleucine degradation","23/890","57/11162",0.403508771929825,5.06063473289966,9.04671947028906,1.60299160654771e-11,4.66203392237627e-10,4.66203392237627e-10,"13382/12040/15356/66948/110460/72039/93747/73724/15108/11671/235674/52538/12039/113868/227095/56752/11409/224530/257633/268782/74147/58875/72535",23
"Genetic Information Processing","Folding, sorting and degradation","mmu03050","Proteasome","20/890","47/11162",0.425531914893617,5.33683958881186,8.76973774581487,1.07578412032283e-10,2.8880665999436e-09,2.8880665999436e-09,"19181/19167/59029/19172/21762/26446/26442/26440/19166/19173/16913/66413/19188/19175/20422/16912/66537/621823/19170/19177",20
"Metabolism","Global and overview maps","mmu01200","Carbon metabolism","28/890","123/11162",0.227642276422764,2.85499223531561,6.08904014194779,2.88267460634353e-07,7.18609598295636e-06,7.18609598295636e-06,"21991/66925/14121/13382/56451/110460/93747/73724/68263/227095/67680/13885/11611/17449/11409/19733/13806/224530/20916/21351/66052/76282/268782/11532/68133/20425/269951/170718",28
"Cellular Processes","Transport and catabolism","mmu04146","Peroxisome","22/890","87/11162",0.252873563218391,3.17143226139739,5.98484761312679,8.10057942578907e-07,1.88473481306692e-05,1.88473481306692e-05,"224824/18477/15356/26874/235674/18633/19301/51798/113868/19302/28200/11611/17527/69129/111175/76263/170789/74147/18634/212503/70503/269951",22
"Organismal Systems","Nervous system","mmu04723","Retrograde endocannabinoid signaling","31/890","154/11162",0.201298701298701,2.52460236392821,5.60766150970065,1.20926326243563e-06,2.63770549118773e-05,2.63770549118773e-05,"17995/67184/68349/66091/17717/68198/17993/17991/54405/66082/17719/230075/17718/75406/226646/68375/67264/225887/66416/17716/66108/18797/14679/227197/16439/66495/66916/14701/17992/17722/66377",31
"Metabolism","Amino acid metabolism","mmu00310","Lysine degradation","18/890","64/11162",0.28125,3.52731741573034,5.96824260882579,1.52833617103358e-06,3.02934876073657e-05,3.02934876073657e-05,"13382/67956/110460/93747/11671/192195/233904/69188/208266/56752/170442/224530/18193/270076/381022/74147/72535/73251",18
"Metabolism","Lipid metabolism","mmu00071","Fatty acid degradation","16/890","52/11162",0.307692307692308,3.85894554883319,6.08232438345211,1.56241483361772e-06,3.02934876073657e-05,3.02934876073657e-05,"110460/93747/11671/235674/13177/52538/113868/56752/11409/11370/224530/270076/11532/74147/72535/11522",16
"Human Diseases","Neurodegenerative disease","mmu05017","Spinocerebellar ataxia","29/890","141/11162",0.205673758865248,2.57947246792573,5.55558974013843,1.68091712013439e-06,3.08757934172054e-05,3.08757934172054e-05,"19181/19167/233871/71722/22359/59029/19172/21762/26446/26442/26440/11740/52335/19166/19173/66413/114896/18797/11652/329015/19175/20422/16439/76559/52639/11651/16504/19170/19177",29
"Metabolism","Global and overview maps","mmu01240","Biosynthesis of cofactors","30/890","153/11162",0.196078431372549,2.4591319673937,5.34915772757432,3.16392165743165e-06,5.46194455469635e-05,5.46194455469635e-05,"100727/13382/11671/66454/18103/22275/18041/223646/14528/231396/67375/27973/66812/29807/58810/19733/108645/17025/12892/18102/211347/20425/17434/79059/72535/72094/69568/11637/103711/27400",30
"Organismal Systems","Immune system","mmu04610","Complement and coagulation cascades","22/890","94/11162",0.234042553191489,2.93526177384652,5.54610543982082,3.28655689537603e-06,5.46194455469635e-05,5.46194455469635e-05,"50908/17194/15139/12946/18815/17195/17174/12759/12630/69379/14962/12262/12258/110382/12266/110135/14069/99571/14161/14067/12268/14062",22
"Metabolism","Carbohydrate metabolism","mmu00640","Propanoate metabolism","11/890","31/11162",0.354838709677419,4.45023559260602,5.66215245398425,1.48871869438117e-05,0.000236164920154104,0.000236164920154104,"13382/12040/56451/93747/73724/12039/227095/380660/11409/20916/74147",11
"Metabolism","Carbohydrate metabolism","mmu00630","Glyoxylate and dicarboxylate metabolism","11/890","33/11162",0.333333333333333,4.18052434456929,5.38575601171246,2.9336858052417e-05,0.00044515493305624,0.00044515493305624,"13382/110460/73724/67432/11611/17449/224530/268782/68133/68180/20425",11
"Metabolism","Metabolism of cofactors and vitamins","mmu00830","Retinol metabolism","21/890","102/11162",0.205882352941176,2.58208856576338,4.72467963969352,4.38870898085407e-05,0.000638191430965863,0.000638191430965863,"13095/100727/54150/13082/28200/19683/72082/231396/79235/13086/107141/13113/11532/404195/13099/13088/72094/100043108/11522/27400/13077",21
"Metabolism","Carbohydrate metabolism","mmu00620","Pyruvate metabolism","12/890","44/11162",0.272727272727273,3.42042900919305,4.73504820620784,0.000118213848619027,0.00165026532672161,0.00165026532672161,"13382/110460/11671/68263/56752/17449/14651/58810/224530/11532/72535/11522",12
"Metabolism","Carbohydrate metabolism","mmu00020","Citrate cycle (TCA cycle)","10/890","32/11162",0.3125,3.91924157303371,4.86761806511532,0.000125707024599862,0.00168737506097507,0.00168737506097507,"66925/13382/56451/68263/67680/17449/20916/66052/269951/170718",10
"Organismal Systems","Digestive system","mmu04979","Cholesterol metabolism","13/890","51/11162",0.254901960784314,3.19687155761181,4.62841436122626,0.000132212721857613,0.00170897184919655,0.00170897184919655,"16971/11816/20661/11813/56491/12684/218203/27409/11812/16891/12257/11814/238055",13
"Cellular Processes","Cellular community - eukaryotes","mmu04530","Tight junction","28/890","169/11162",0.165680473372781,2.07789375706403,4.15604505415954,0.000158224952463893,0.00197216101463924,0.00197216101463924,"18016/14924/192786/17904/14463/74192/66713/74094/22323/26401/70497/56378/83814/17698/60595/67374/21873/75723/68178/67771/98932/17999/17274/77579/56217/12479/21872/17886",28
"Metabolism","Global and overview maps","mmu01210","2-Oxocarboxylic acid metabolism","10/890","34/11162",0.294117647058824,3.68869795109055,4.62159588967879,0.000220664113181811,0.00265557846553283,0.00265557846553283,"13382/12040/12039/68263/11611/76282/109652/268782/269951/170718",10
"Metabolism","Global and overview maps","mmu01212","Fatty acid metabolism","14/890","62/11162",0.225806451612903,2.83196810438565,4.25766331391054,0.000295361029669498,0.00328725434671491,0.00328725434671491,"234309/110460/93747/76267/235674/52538/113868/11409/11370/224530/14979/257633/223722/74147",14
"Cellular Processes","Cellular community - eukaryotes","mmu04520","Adherens junction","18/890","92/11162",0.195652173913043,2.45378602833415,4.1213514049007,0.000296182481246995,0.00328725434671491,0.00328725434671491,"21813/14360/22330/328572/69903/60595/19263/98932/12914/242687/19246/12562/14158/21415/11431/77446/21872/21416",18
"Human Diseases","Endocrine and metabolic disease","mmu04936","Alcoholic liver disease","24/890","141/11162",0.170212765957447,2.13473583552474,3.99128626400666,0.000301410140673,0.00328725434671491,0.00328725434671491,"26398/68652/16803/15139/11671/21937/56752/266632/11370/14080/12262/72674/11652/12266/21415/117149/11532/12268/20787/21416/72535/11522/11651/19697",24
"Human Diseases","Cancer: overview","mmu05204","Chemical carcinogenesis - DNA adducts","17/890","90/11162",0.188888888888889,2.36896379525593,3.83812602552156,0.000661223500058647,0.00699293944001417,0.00699293944001417,"13095/100727/14872/14871/66447/72082/231396/107141/56615/76971/13113/76263/404195/13099/72094/100043108/13077",17
"Metabolism","Carbohydrate metabolism","mmu00650","Butanoate metabolism","8/890","27/11162",0.296296296296296,3.71602163961715,4.15900123416219,0.000892893702311925,0.00888435974120098,0.00888435974120098,"15356/110460/93747/11409/224530/71911/74147/272428",8
"Cellular Processes","Cell motility","mmu04810","Regulation of actin cytoskeleton","33/890","234/11162",0.141025641025641,1.76868337654855,3.49787372144987,0.00091237760816693,0.00888435974120098,0.00888435974120098,"70584/74192/66713/15139/22330/544963/219140/56378/17698/60595/16404/67771/330662/69379/98932/216963/242687/104099/77579/110382/11652/54126/108083/19303/237860/14062/14701/18720/69632/11651/17886/13367/14268",33
"Metabolism","Amino acid metabolism","mmu00330","Arginine and proline metabolism","12/890","54/11162",0.222222222222222,2.78701622971286,3.87459660143601,0.000916438254106691,0.00888435974120098,0.00888435974120098,"18242/75986/66194/69215/67432/11671/212647/56752/20229/66054/56189/72535",12
"Metabolism","Carbohydrate metabolism","mmu00053","Ascorbate and aldarate metabolism","8/890","32/11162",0.25,3.13539325842697,3.56060933663764,0.00296167762016156,0.0272006707746417,0.0272006707746417,"100727/11671/231396/56752/58810/19733/72535/72094",8
"Metabolism","Metabolism of other amino acids","mmu00410","beta-Alanine metabolism","8/890","32/11162",0.25,3.13539325842697,3.56060933663764,0.00296167762016156,0.0272006707746417,0.0272006707746417,"93747/11671/227095/56752/11409/66054/74147/72535",8
"Human Diseases","Cancer: specific types","mmu05211","Renal cell carcinoma","13/890","70/11162",0.185714285714286,2.3291492776886,3.28349909695417,0.00321396639606477,0.0287608787750412,0.0287608787750412,"70584/11863/13819/328572/67673/94315/21803/12914/23871/15234/11652/11651/19247",13
"Organismal Systems","Circulatory system","mmu04260","Cardiac muscle contraction","15/890","89/11162",0.168539325842697,2.11374826410807,3.10504891052611,0.00427522993096658,0.0373013811476834,0.0373013811476834,"22273/12866/66576/110323/22003/17710/59069/66694/22272/66142/12864/12859/66445/67003/12858",15
"Metabolism","Metabolism of cofactors and vitamins","mmu00770","Pantothenate and CoA biosynthesis","6/890","21/11162",0.285714285714286,3.58330658105939,3.48772763597916,0.00483662762299757,0.040426585221422,0.040426585221422,"11671/26464/66812/67618/211347/72535",6
"Metabolism","Metabolism of cofactors and vitamins","mmu00730","Thiamine metabolism","5/890","15/11162",0.333333333333333,4.18052434456929,3.62814307575237,0.00486509048509949,0.040426585221422,0.040426585221422,"66566/18041/29807/11431/11637",5
"Environmental Information Processing","Signal transduction","mmu04066","HIF-1 signaling pathway","18/890","117/11162",0.153846153846154,1.92947277441659,2.97485495706024,0.00508784857650683,0.0412943989116485,0.0412943989116485,"15368/68263/17347/11863/13819/328572/67673/21687/22042/13806/12914/14254/11652/20848/11651/19697/15980/17000",18
"Human Diseases","Infectious disease: bacterial","mmu05135","Yersinia infection","20/890","136/11162",0.147058823529412,1.84434897554527,2.91609382282486,0.00547666476366644,0.0434399091481725,0.0434399091481725,"26431/26398/68652/18018/74192/66713/68524/56378/67771/330662/266632/242687/11652/54126/19303/18720/69632/11651/19697/14268",20
"Metabolism","Lipid metabolism","mmu00140","Steroid hormone biosynthesis","16/890","101/11162",0.158415841584158,1.98678384692402,2.93227416819217,0.00601928935175024,0.046682932972463,0.046682932972463,"13095/100727/76279/72082/231396/107141/14979/13113/15494/404195/13099/13088/72094/100043108/27400/13077",16
"Metabolism","Amino acid metabolism","mmu00380","Tryptophan metabolism","10/890","52/11162",0.192307692307692,2.41184096802074,3.00365103100823,0.00719387528459637,0.0545796190070463,0.0545796190070463,"13382/110460/93747/11671/56752/224530/270076/74147/72535/13077",10
"Cellular Processes","Transport and catabolism","mmu04144","Endocytosis","33/890","268/11162",0.123134328358209,1.54429817206104,2.65478673756175,0.00805283278805991,0.0597965668730406,0.0597965668730406,"26431/21813/74192/66713/65114/18571/13430/268451/330192/68524/27681/56378/83814/67771/107338/77038/69780/15006/218441/22042/11771/17999/17274/216963/13196/232910/15040/80794/107568/84092/15481/18720/69091",33
"Organismal Systems","Development and regeneration","mmu04380","Osteoclast differentiation","19/890","132/11162",0.143939393939394,1.80522642151856,2.7392790634515,0.00839257805312003,0.0598768478800178,0.0598768478800178,"21813/68652/18018/14360/14284/16177/21937/16451/14130/21803/16477/11433/16478/11652/16439/11651/19697/15980/20375",19
"Metabolism","Energy metabolism","mmu00920","Sulfur metabolism","4/890","11/11162",0.363636363636364,4.56057201225741,3.47758905603509,0.00840677806911425,0.0598768478800178,0.0598768478800178,"20341/211389/22117/59010",4
"Genetic Information Processing","Chromosome","mmu03083","Polycomb repressive complex","14/890","88/11162",0.159090909090909,1.99525025536262,2.75892837733991,0.00946822815492367,0.0660882325213672,0.0660882325213672,"381668/68837/216080/328572/212391/228790/21402/12914/71458/22658/17187/15161/110962/17425",14
"Environmental Information Processing","Signaling molecules and interaction","mmu04518","Integrin signaling","21/890","153/11162",0.137254901960784,1.72139237717559,2.64461453467754,0.00987615275230208,0.0675838688343809,0.0675838688343809,"22330/225341/60595/170736/21803/16404/15894/14257/104099/15234/14254/11652/12266/110135/99571/19303/14161/11651/110829/16542/14268",21
"Metabolism","Lipid metabolism","mmu00561","Glycerolipid metabolism","11/890","63/11162",0.174603174603175,2.18979846620296,2.78753805997289,0.0103442435239354,0.0694257882664124,0.0694257882664124,"11671/67512/68393/102247/215456/56752/67800/14933/58810/16891/72535",11
"Metabolism","Amino acid metabolism","mmu00250","Alanine, aspartate and glutamate metabolism","8/890","39/11162",0.205128205128205,2.57263036588879,2.89578986724208,0.0105558127521744,0.0695090311416765,0.0695090311416765,"11484/11611/212647/27053/52633/76282/268782/70503",8
"Environmental Information Processing","Signal transduction","mmu04330","Notch signaling pathway","11/890","64/11162",0.171875,2.15558286516854,2.72890094888807,0.0116187710905344,0.0750916872332687,0.0750916872332687,"15205/56381/54485/18222/328572/52335/103806/207521/21887/12914/13544",11
"Metabolism","Metabolism of other amino acids","mmu00480","Glutathione metabolism","12/890","73/11162",0.164383561643836,2.06162844389718,2.67859365829362,0.0121904230532469,0.0773537753742395,0.0773537753742395,"14872/14871/66116/66447/14778/68396/16790/56615/76263/14782/11758/269951",12
"Genetic Information Processing","Folding, sorting and degradation","mmu03018","RNA degradation","13/890","83/11162",0.156626506024096,1.96434276431569,2.59560883199119,0.0137767599307005,0.0858587359966871,0.0858587359966871,"57316/18458/68533/232791/13806/66446/225929/214627/66317/24128/53621/104625/66583",13
"Environmental Information Processing","Signaling molecules and interaction","mmu04517","IgSF CAM signaling","35/890","300/11162",0.116666666666667,1.46318352059925,2.39374497471896,0.0144194261331175,0.0868180849287924,0.0868180849287924,"14924/260299/70584/192786/17904/13822/74192/14360/66713/22330/20742/56378/17698/60595/67374/21873/67771/15894/98932/233977/216963/77579/11350/11652/107449/110135/99571/21872/19303/14161/111173/11651/17886/19247/16542",35
"Metabolism","Metabolism of cofactors and vitamins","mmu00785","Lipoic acid metabolism","5/890","19/11162",0.263157894736842,3.30041395623891,2.95393395488285,0.0144282204179655,0.0868180849287924,0.0868180849287924,"13382/12040/12039/68263/68133",5
"Environmental Information Processing","Signal transduction","mmu04350","TGF-beta signaling pathway","16/890","112/11162",0.142857142857143,1.7916532905297,2.47846017931356,0.0158255204809167,0.0936119770820325,0.0936119770820325,"21813/17125/328572/21803/12156/218441/22042/12161/21402/12914/14313/104394/15902/66438/20185/434215",16
"Metabolism","Carbohydrate metabolism","mmu00010","Glycolysis / Gluconeogenesis","11/890","67/11162",0.164179104477612,2.05906422941472,2.55926407132226,0.0161658443603455,0.0940313280293427,0.0940313280293427,"21991/14121/13382/11671/68263/56752/58810/13806/11532/72535/11522",11
"Metabolism","Xenobiotics biodegradation and metabolism","mmu00980","Metabolism of xenobiotics by cytochrome P450","12/890","76/11162",0.157894736842105,1.98024837374335,2.52391393525565,0.0165377810740994,0.0946177966370603,0.0946177966370603,"100727/14872/14871/66447/231396/56615/76971/76263/11532/72094/11522/13077",12
